words_typed,intelligibility_rating,audio,condition,cutoff,content,trial_index,fullcond,suj_id,scores,TSRatios,cond_names,colors
I hope I'm not being reductive.,7,6_41.wav,Anchor_fullyIntelligible,0,I hope I'm not beeing reductive,103,Anchor_fullyIntelligible_0,10,12.903225806451612,98,Full,coral
It's been about two years,3,filter_23_Inf_frm01_s05.wav,Temporal,23,It's been about two years since Davey kept shotguns,106,Temporal_23,10,9.803921568627452,66,T 23,royalblue
#,1,filter_20_Inf_frm01_s09.wav,Temporal,20,Here I was in Miami and Illinois,109,Temporal_20,10,0.0,0,T 20,cornflowerblue
"Everyone's an influencer, she says.",7,1_74.wav,Anchor_fullyIntelligible,0,Everyone's an influencer shes says,112,Anchor_fullyIntelligible_0,10,5.88235294117647,99,Full,coral
below ground level,3,filter_20_Inf_frm01_s33.wav,Temporal,20,The same shelter could be built into an embankment or below ground level,115,Temporal_20,10,4.166666666666666,40,T 20,cornflowerblue
"I do like parties, though.",7,2_45.wav,Anchor_fullyIntelligible,0,I do like parties though,118,Anchor_fullyIntelligible_0,10,12.5,100,Full,coral
modernising and redecorating,3,filter_Inf_1.5_frm01_s30.wav,Spectral,1.5,How much will it cost to do any necessary modernizing and redecorating,121,Spectral_1.5,10,2.857142857142857,55,S 1.5,darkgreen
amount of trades,2,filter_23_Inf_frm01_s32.wav,Temporal,23,Is a relaxed home atmosphere enough to help her outgrow these traits,124,Temporal_23,10,0.0,31,T 23,royalblue
#,1,filter_Inf_1.2_frm01_s19.wav,Spectral,1.2,Cory and Trish played tag with beach balls for hours,127,Spectral_1.2,10,0.0,0,S 1.2,forestgreen
#,1,filter_4_Inf_2_54.wav,Anchor_Temporal_unIntelligible,4,And that was not right,130,Anchor_Temporal_unIntelligible_4,10,0.0,0,T 4,lightsteelblue
"It was quite a bit better, I liked it.",7,2_46.wav,Anchor_fullyIntelligible,0,It was quite a bit better I liked it,133,Anchor_fullyIntelligible_0,10,19.444444444444446,100,Full,coral
Don't ask me to,4,filter_Inf_1.5_frm01_s11.wav,Spectral,1.5,Don't ask me to carry an oily rag like that,136,Spectral_1.5,10,9.30232558139535,52,S 1.5,darkgreen
personalities expected,2,filter_20_Inf_frm01_s25.wav,Temporal,20,Military personnel are expected to obey government orders,139,Temporal_20,10,1.7543859649122806,43,T 20,cornflowerblue
#,1,filter_Inf_0.4_1_1.wav,Anchor_Spectral_unIntelligible,0.4,"she called her brother, Randy",142,Anchor_Spectral_unIntelligible_0.4,10,0.0,0,S 0.4,limegreen
It doesn't matter who wins,2,filter_Inf_1.2_frm01_s01.wav,Spectral,1.2,If it doesn't matter who wins why do we keep score,145,Spectral_1.2,10,10.0,68,S 1.2,forestgreen
